name,|V|,SelfOpp,Opp,IsUndAT,UndGrph,s,GvAb,|T_v:G_v|,|A_v:G_v|,Solv,Rad,AtNo,AtTy,|AltCyc|,AltExp,AltPer,AltSeq,IsGWD
ATD[6;1],6,yes,ATD[6;1],yes,GWG(3;1),2,Ab,2,2,solv,2,2,tight,3,1,3,[2],yes
ATD[8;1],8,yes,ATD[8;1],yes,GWG(4;1),1,Ab,2,72,solv,4,8,---,2,1,2,[4],no
ATD[8;2],8,yes,ATD[8;2],yes,GWG(4;1),3,Ab,2,2,solv,2,2,tight,4,1,4,[2],yes
ATD[9;1],9,yes,ATD[9;1],yes,GHAT[9;1],1,Ab,2,4,solv,3,3,tight,3,1,3,[3],no
ATD[10;1],10,yes,ATD[10;1],yes,GHAT[10;1],1,Ab,2,12,solv,5,10,---,2,1,2,[5],no
ATD[10;2],10,yes,ATD[10;2],yes,GWG(5;1),4,Ab,2,2,solv,2,2,tight,5,1,5,[2],yes
ATD[12;1],12,yes,ATD[12;1],yes,GWG(3;2),1,Ab,2,2,solv,3,2,antipodal,4,2,1,[3;12],no
ATD[12;2],12,yes,ATD[12;2],yes,GWG(6;1),1,Ab,2,32,solv,3,3,tight,4,1,4,[3],no
ATD[12;3],12,yes,ATD[12;3],yes,GWG(6;1),1,Ab,2,32,solv,6,12,---,2,1,2,[6],no
ATD[12;4],12,yes,ATD[12;4],yes,GWG(3;2),1,Ab,2,2,solv,2,1,loose,6,2,3,[2;4],yes
ATD[12;5],12,yes,ATD[12;5],yes,GWG(6;1),5,Ab,2,2,solv,2,2,tight,6,1,6,[2],yes
ATD[14;1],14,yes,ATD[14;1],yes,GWG(7;1),6,Ab,2,2,solv,2,2,tight,7,1,7,[2],yes
ATD[15;1],15,yes,ATD[15;1],yes,GHAT[15;1],1,Ab,2,2,solv,5,5,tight,3,1,3,[5],no
ATD[15;2],15,yes,ATD[15;2],yes,GHAT[15;1],1,Ab,2,2,solv,3,3,tight,5,1,5,[3],no
ATD[16;1],16,yes,ATD[16;1],yes,GWG(8;1),1,Ab,2,2^7,solv,4,4,tight,4,1,4,[4],no
ATD[16;2],16,yes,ATD[16;2],yes,GWG(4;2),1,Ab,2,12,solv,4,4,tight,4,1,4,[4],no
ATD[16;3],16,yes,ATD[16;3],yes,GWG(8;1),1,Ab,2,2^7,solv,8,16,---,2,1,2,[8],no
ATD[16;4],16,yes,ATD[16;4],yes,GWG(4;2),2,Ab,2,2,solv,2,1,loose,8,2,4,[2;4],yes
ATD[16;5],16,yes,ATD[16;5],yes,GWG(8;1),7,Ab,2,2,solv,2,2,tight,8,1,8,[2],yes
ATD[18;1],18,yes,ATD[18;1],yes,GHAT[18;1],1,Ab,2,4,solv,3,3,tight,6,1,6,[3],no
ATD[18;2],18,yes,ATD[18;2],yes,GHAT[18;1],2,Ab,2,2,solv,3,2,antipodal,6,2,2,[3;9],no
ATD[18;3],18,yes,ATD[18;3],yes,GWG(9;1),8,Ab,2,2,solv,2,2,tight,9,1,9,[2],yes
ATD[20;1],20,yes,ATD[20;1],yes,GHAT[20;1],1,Ab,2,2,solv,5,5,tight,4,1,4,[5],no
ATD[20;2],20,yes,ATD[20;2],yes,GWG(10;1),1,Ab,2,2^9,solv,5,5,tight,4,1,4,[5],no
ATD[20;3],20,yes,ATD[20;3],yes,GWG(10;1),1,Ab,2,2^9,solv,10,20,---,2,1,2,[10],no
ATD[20;4],20,yes,ATD[20;4],yes,GWG(5;2),3,Ab,2,2,solv,2,1,loose,10,2,5,[2;4],yes
ATD[20;5],20,yes,ATD[20;5],yes,GWG(10;1),9,Ab,2,2,solv,2,2,tight,10,1,10,[2],yes
ATD[21;1],21,no,ATD[21;2],yes,GHAT[21;1],1,Ab,8,8,solv,7,7,tight,3,1,3,[7],no
ATD[21;2],21,no,ATD[21;1],yes,GHAT[21;1],1,Ab,8,8,solv,7,7,tight,3,1,3,[7],no
ATD[21;3],21,yes,ATD[21;3],yes,GHAT[21;2],1,Ab,2,2,solv,7,7,tight,3,1,3,[7],no
ATD[21;4],21,yes,ATD[21;4],yes,GHAT[21;2],1,Ab,2,2,solv,3,3,tight,7,1,7,[3],no
ATD[22;1],22,yes,ATD[22;1],yes,GWG(11;1),10,Ab,2,2,solv,2,2,tight,11,1,11,[2],yes
ATD[24;1],24,yes,ATD[24;1],yes,GHAT[24;1],1,Ab,2,2,solv,4,4,tight,6,1,6,[4],no
ATD[24;2],24,yes,ATD[24;2],yes,GHAT[24;1],1,Ab,2,2,solv,12,24,---,2,1,2,[12],no
ATD[24;3],24,yes,ATD[24;3],yes,GHAT[24;1],1,Ab,2,2,solv,3,3,tight,8,1,8,[3],no
ATD[24;4],24,yes,ATD[24;4],yes,GHAT[24;2],1,Ab,2,2,solv,4,4,tight,6,1,6,[4],no
ATD[24;5],24,yes,ATD[24;5],yes,GHAT[24;2],1,Ab,2,2,solv,6,6,tight,4,1,4,[6],no
ATD[24;6],24,yes,ATD[24;6],yes,GHAT[24;2],1,Ab,2,2,solv,12,24,---,2,1,2,[12],no
ATD[24;7],24,yes,ATD[24;7],yes,GHAT[24;3],1,Ab,2,2,solv,4,2,antipodal,6,2,3,[4;8],no
ATD[24;8],24,yes,ATD[24;8],yes,GHAT[24;3],1,Ab,2,2,solv,6,4,---,4,2,1,[6;24],no
ATD[24;9],24,yes,ATD[24;9],yes,GHAT[24;4],1,Ab,2,2,solv,4,2,antipodal,6,2,3,[4;8],no
ATD[24;10],24,yes,ATD[24;10],yes,GHAT[24;4],1,Ab,2,2,solv,6,4,---,4,2,1,[6;24],no
ATD[24;11],24,yes,ATD[24;11],yes,GWG(6;2),1,Ab,2,16,solv,3,2,antipodal,8,2,2,[3;12],no
ATD[24;12],24,yes,ATD[24;12],yes,GWG(12;1),1,Ab,2,2^11,solv,6,6,tight,4,1,4,[6],no
ATD[24;13],24,yes,ATD[24;13],yes,GWG(12;1),1,Ab,2,2^11,solv,12,24,---,2,1,2,[12],no
ATD[24;14],24,yes,ATD[24;14],yes,GWG(6;2),4,Ab,2,2,solv,2,1,loose,12,2,6,[2;4],yes
ATD[24;15],24,yes,ATD[24;15],yes,GWG(12;1),11,Ab,2,2,solv,2,2,tight,12,1,12,[2],yes
