name,|V|,gir,bip,CayTy,|G_v|,solv,rad,AtNo,AtTy,AltExp,AltPer,AltSeq,CCa,CCb,MetaCircTy
HAT[27;1],27,5,nb,Cay,2,solv,9,9,tight,1,3,[9],6,9,{1;2}
HAT[39;1],39,3,nb,Cay,2,solv,13,13,tight,1,3,[13],3,6,{2}
HAT[54;1],54,6,b,Cay,2,solv,9,9,tight,1,6,[9],6,18,{1;2;3}
HAT[55;1],55,5,nb,Cay,2,solv,11,11,tight,1,5,[11],5,10,{2}
HAT[55;2],55,5,nb,Cay,2,solv,11,11,tight,1,5,[11],5,10,{2}
HAT[57;1],57,3,nb,Cay,2,solv,19,19,tight,1,3,[19],3,6,{2}
HAT[60;1],60,4,b,Cay,2,solv,15,15,tight,1,4,[15],4,12,{2;4}
HAT[63;1],63,6,nb,Cay,2,solv,7,7,tight,1,9,[7],9,18,{2}
HAT[63;2],63,3,nb,Cay,2,solv,21,21,tight,1,3,[21],3,6,{2}
HAT[68;1],68,6,b,n-Cay,2,solv,17,17,tight,1,4,[17],8,8,{2}
HAT[72;1],72,4,b,Cay,2,solv,4,1,loose,2,2,[4;36],4,8,{}
HAT[78;1],78,6,b,Cay,2,solv,13,13,tight,1,6,[13],6,6,{2}
HAT[78;2],78,6,b,n-Cay,2,solv,13,13,tight,1,6,[13],12,12,{2}
HAT[80;1],80,4,b,Cay,2,solv,20,20,tight,1,4,[20],4,8,{2}
HAT[80;2],80,4,b,Cay,2,solv,20,20,tight,1,4,[20],4,8,{2}
HAT[81;1],81,6,nb,Cay,2,solv,9,9,tight,1,9,[9],9,18,{2;4}
HAT[81;2],81,6,nb,Cay,2,solv,27,27,tight,1,3,[27],6,27,{1;2;4}
HAT[84;1],84,3,nb,Cay,2,solv,14,7,---,2,3,[14;28],3,6,{}
HAT[84;2],84,6,b,Cay,2,solv,7,7,tight,1,12,[7],12,12,{2}
HAT[84;3],84,6,b,Cay,2,solv,14,14,tight,1,6,[14],6,12,{2;4}
HAT[93;1],93,3,nb,Cay,2,solv,31,31,tight,1,3,[31],3,6,{2}
HAT[100;1],100,4,b,Cay,2,solv,5,1,loose,2,4,[5;25],4,20,{4}
HAT[105;1],105,6,nb,Cay,2,solv,7,7,tight,1,15,[7],15,30,{2}
HAT[105;2],105,6,nb,Cay,2,solv,35,35,tight,1,3,[35],6,15,{2;4}
HAT[108;1],108,6,nb,Cay,2,solv,9,3,---,2,3,[9;36],9,12,{}
HAT[108;2],108,6,nb,Cay,2,solv,18,9,---,2,3,[18;36],6,9,{}
HAT[108;3],108,6,b,Cay,2,solv,9,9,tight,1,12,[9],12,36,{1;2;3;4}
HAT[108;4],108,6,b,Cay,2,solv,18,18,tight,1,6,[18],6,36,{1;2;3;4}
HAT[108;5],108,8,b,Cay,2,solv,18,18,tight,1,6,[18],12,18,{1;2;3;4}
HAT[110;1],110,6,b,Cay,2,solv,11,11,tight,1,10,[11],10,10,{2}
HAT[110;2],110,6,b,Cay,2,solv,11,11,tight,1,10,[11],10,10,{2}
HAT[111;1],111,3,nb,Cay,2,solv,37,37,tight,1,3,[37],3,6,{2}
HAT[114;1],114,6,b,Cay,2,solv,19,19,tight,1,6,[19],6,6,{2}
HAT[117;1],117,6,nb,Cay,2,solv,13,13,tight,1,9,[13],9,18,{2}
HAT[117;2],117,3,nb,Cay,2,solv,39,39,tight,1,3,[39],3,6,{2}
HAT[120;1],120,6,b,Cay,2,solv,15,15,tight,1,8,[15],8,24,{2;4}
HAT[120;2],120,4,b,Cay,2,solv,30,30,tight,1,4,[30],4,12,{2;4}
HAT[120;3],120,8,b,Cay,2,solv,30,30,tight,1,4,[30],8,24,{2;4}
HAT[125;1],125,7,nb,Cay,2,solv,25,25,tight,1,5,[25],10,25,{1;2;4}
HAT[125;2],125,7,nb,Cay,2,solv,25,25,tight,1,5,[25],10,25,{1;2;4}
HAT[126;1],126,6,b,Cay,2,solv,7,7,tight,1,18,[7],18,18,{2}
HAT[126;2],126,6,b,Cay,2,solv,21,21,tight,1,6,[21],6,6,{2}
HAT[128;1],128,8,b,Cay,2,solv,16,16,tight,1,8,[16],8,32,{1;2;3;4}
HAT[128;2],128,8,b,Cay,2,solv,16,16,tight,1,8,[16],16,32,{1;2;3;4}
HAT[128;3],128,4,b,Cay,2,solv,4,1,loose,3,4,[4;16;32],4,16,{}
